id,first_name,last_name,email,phone_number,first time client,order date,gender,order price,Client birthday
1,Brena,Lambard,blambard0@fema.gov,618-115-3099,true,9/18/2023,Female,1711.83 zł,8/3/1969
2,Bertrand,Surmeyers,bsurmeyers1@home.pl,802-994-3636,true,2/3/2022,Male,760.01 zł,10/29/1956
3,Clare,Demko,cdemko2@nasa.gov,980-918-5703,false,12/11/2019,Male,74.74 zł,12/23/1932
4,Saxon,Kisbee,skisbee3@is.gd,617-101-9553,true,9/25/2022,Male,2097.70 zł,8/17/1961
5,Tamarah,Kleinholz,tkleinholz4@globo.com,202-276-6846,false,11/13/2019,Female,101.14 zł,9/16/1930
6,Annadiane,Jore,ajore5@imgur.com,554-770-7742,false,12/3/2021,Female,482.51 zł,4/19/1932
7,Marvin,Robertson,mrobertson6@printfriendly.com,527-376-8314,true,6/19/2022,Male,1550.30 zł,3/23/1996
8,Jude,Denham,jdenham7@wordpress.org,167-198-3729,false,6/3/2020,Male,1195.05 zł,8/1/1994
9,Madeline,Brixham,mbrixham8@independent.co.uk,892-618-9720,true,10/30/2020,Female,169.04 zł,1/28/1942
10,Anallese,Crook,acrook9@unesco.org,743-197-3933,true,7/4/2023,Female,505.89 zł,9/17/1954
11,Rycca,Daubeny,rdaubenya@photobucket.com,242-336-0930,false,5/22/2021,Female,1658.83 zł,7/11/1932
12,Gabriella,Saing,gsaingb@homestead.com,295-140-4852,true,9/19/2020,Female,1930.53 zł,12/23/2003
13,Hi,Coupar,hcouparc@digg.com,689-550-8455,true,1/4/2020,Male,954.81 zł,4/9/2010
14,Gelya,Cathee,gcatheed@vistaprint.com,250-173-4121,false,8/16/2019,Female,1048.12 zł,3/26/1971
15,Anetta,Sloss,aslosse@macromedia.com,895-776-0161,false,1/3/2021,Female,875.41 zł,1/2/1960
16,Enriqueta,Hayer,ehayerf@sciencedaily.com,214-795-1720,true,2/12/2023,Female,970.05 zł,8/1/2010
17,Ber,Snelgrove,bsnelgroveg@about.com,407-379-4996,false,2/4/2021,Male,2108.10 zł,7/24/1956
18,Constancy,Darnell,cdarnellh@seattletimes.com,844-255-8810,true,3/29/2021,Female,679.72 zł,1/27/1929
19,Lani,Wield,lwieldi@usa.gov,716-862-2143,false,4/16/2021,Female,1813.82 zł,1/8/1948
20,Lloyd,Antonovic,lantonovicj@theglobeandmail.com,448-930-7301,true,9/28/2020,Male,713.59 zł,2/12/1954
21,Kassi,Desson,kdessonk@amazon.com,566-580-5956,false,10/29/2021,Female,1011.67 zł,2/28/1947
22,Carolina,Kinnock,ckinnockl@pbs.org,265-748-1082,false,12/31/2021,Genderqueer,1356.86 zł,12/12/1980
23,Maxy,Kennion,mkennionm@technorati.com,275-413-3888,false,12/10/2022,Male,1769.37 zł,5/1/1949
24,Bettina,Ronci,broncin@ask.com,149-933-0871,true,4/29/2023,Female,1207.09 zł,11/11/1949
25,Vito,Bentson,vbentsono@pcworld.com,825-467-0946,false,5/22/2022,Male,727.49 zł,6/27/1957
26,Coralie,Antoni,cantonip@ucoz.ru,512-707-0439,false,11/18/2019,Female,254.36 zł,6/4/1926
27,Hayes,Zannotti,hzannottiq@youtube.com,255-897-3521,true,8/20/2021,Male,626.13 zł,10/6/1935
28,Nicol,Muffin,nmuffinr@ucsd.edu,597-952-3874,false,10/16/2023,Genderfluid,260.57 zł,9/5/1925
29,Dallas,Wilsdon,dwilsdons@fotki.com,315-431-3271,true,8/23/2022,Female,241.90 zł,3/16/2009
30,Tilly,Fry,tfryt@usatoday.com,401-964-9073,false,8/15/2022,Female,197.33 zł,1/24/1941
31,Oona,Presidey,opresideyu@1688.com,682-393-9179,false,8/1/2021,Female,855.04 zł,5/5/1991
32,Salem,Lord,slordv@omniture.com,725-283-1257,false,4/29/2023,Male,552.53 zł,12/6/1965
33,Meredith,Grinvalds,mgrinvaldsw@gnu.org,426-287-4809,true,4/25/2020,Male,957.64 zł,10/16/1999
